Proposições,Classe,Apreciação,Regime de Tramitação,Natureza,Ementa,Explicação ,Autor,UF,Partido,Apresentação,Ano,,Situação,Link 
PL 2059/2003,Aborto,"Conclusiva (24, II, RICD)","Prioridade (151, II, RICD)",Indefino,"Disciplina o uso de laqueadura e da vasectomia, como um dos componentes do Planejamento Familiar no Sistema Único de Saúde, estabelece penalidade e dá outras providências.",,Maninha,DF,PT,9/24/2003,2003,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=134831
PL 2155/2007,Aborto,"Conclusiva (24, II, RICD)","Ordinária (151, III, RICD)",Contra,"Institui o ""Dia do Nascituro"", a ser festejado no dia 8 de outubro de 2007 de cada ano, e prescreve medidas a serem adotadas pelos Poderes a que se refere, para efeito da respectiva comemoração.",,Dr. Talmir,SP,PV,10/3/2007,2007,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=370235
PL 2423/1989,Aborto,Plenário,"Prioridade (151, II, RICD)",Indefinido,"Dispõe sobre os crimes de tortura, terrorismo, tráfico ilícito de entorpecentes e drogas afins ,dando outras providências.",,Senado Federal - Jamil Haddad,RJ,PSB,5/24/1989,1989,Raiz,Pronta para Pauta no PLENÁRIO (PLEN),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=18103
PL 2433/2007,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Altera os arts. 124, 125 e 126 do Código Penal (Decreto-Lei nº 2.848, de 7 de dezembro de 1940).","Aumenta a pena de detenção para a gestante que realizar ou consentir o aborto, a pena de reclusão para o aborto realizado por terceiros e tipifica o crime de induzir, instigar ou auxiliar mulher grávida a abortar.",Marcelo Serafim,AM,PSB,11/14/2007,2007,Raiz,Retirado pelo Autor,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=376911
PL 2438/1989,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,AUTORIZA ATIVIDADES DE PRATICAS E MEIOS ANTICONCEPCIONAIS E DA PROVIDENCIAS.,,INOCENCIO OLIVEIRA,PE,PFL,5/29/1989,1989,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=203485
PL 244/1983,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"AUTORIZA ATIVIDADES DE PRATICAS E MEIOS ANTICONCEPCIONAIS, E DA OUTRAS PROVIDENCIAS.",,INOCENCIO OLIVEIRA,PE,PDS,3/17/1983,1983,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=173746
PL 2690/2007,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Acrescenta o art. 127-A ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.","Tipifica como crime a propaganda e o induzimento aos métodos ou substâncias abortivas (""aborto ilegal"").",Miguel Martini,MG,PHS,12/19/2007,2007,,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=382059
PL 2852/2000,Aborto,"Conclusiva (24, II, RICD)","Ordinária (151, III, RICD)",Indefinido,Dispõe sobre a concessão de licença especial para gestante em situação de risco e dá outras providências.,"Concede licença especial a empregada grávida, cuja gravidez ofereça risco, para si ou para o nascituro mediante solicitação de ginecologista/obstetra, credenciado do SUS, e laudo comprobatório, obriga o empregador a pagar a diferença entre o salário e o benefício.",Professor Luizinho;Iara Bernardi,SP;SP,PT ;PT,4/13/2000,2000,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=18716
PL 3039/2015,Aborto,"Conclusiva (24, II, RICD)","Ordinária (151, III, RICD)",A favor,"Dispõe sobre o direito dos advogados ao adiamento de atos processuais em que deva intervir em caso de maternidade, paternidade, luto e outros direitos.",,Ronaldo Fonseca,DF,PROS,9/17/2015,2015,,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=1734481
PL 3166/1992,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"REGULAMENTA O INCISO XII, DO ARTIGO QUINTO, DA CONSTITUIÇÃO FEDERAL E MODIFICA O ARTIGO 151 DO CODIGO PENAL.","DISPONDO SOBRE A INVIOLABILIDADE DO SIGILO DA CORRESPONDENCIA E DAS COMUNICAÇÕES TELEGRAFICAS, DE DADOS E DAS COMUNICAÇÕES TELEFONICAS, OU ESCUTA TELEFONICA E SUAS RESSALVAS, REGULAMENTANDO DISPOSITIVOS DA CONSTITUIÇÃO FEDERAL DE 1988.",SENADO FEDERAL - MARCIO LACERDA,MT,PMDB,9/16/1992,1992,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=210242
PL 3207/2008,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Acresce os incisos VIII, IX e X ao art. 1º da Lei nº 8.072, de 25 de julho de 1990.","Inclui o induzimento, instigação ou auxílio ao suicídio (eutanásia) e o aborto provocado nos crimes considerados hediondos.",Miguel Martini,MG,PHS,4/8/2008,2008,Apensado,Aguardando Designação de Relator na Comissão de Defesa dos Direitos da Mulher (CMULHER),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=389698
PL 3348/2000,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Altera a Lei nº 8.974, de 5 de janeiro de 1995, que ""regulamenta os incisos II e V do § 1º do art. 225 da Constituição Federal, estabelece normas para o uso das técnicas de engenharia genética e liberação no meio ambiente de organismos geneticamente modificados, autoriza o Poder Executivo a criar, no âmbito da Presidência da República, a Comissão Técnica Nacional de Biossegurança, e dá outras ...","Autorizando a intervenção ""in vivo"" em material genético de animais com a finalidade de restauração, reparação e tratamento de defeitos genéticos; agravando a pena para os crimes cometidos em função da utilização indevida da intervenção in vivo em animal e no ser humano.",Fernando Ferro,PE,PT,6/28/2000,2000,Apensada,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=19516
