,id,capnum,datacaptura,idecadastro,numlegislatura,nomeparlamentar,sexo,profissao,legendapartidoeleito,ufeleito,condicao,situacaomandato,matricula,gabinete,anexo,fone
42,1590,2,2015-11-02 13:14:39,176794,54,MARIA LUCIA PRANDI ,F,,PT,SP,Suplente,Em Exercício,648,0,0,
43,198,2,2015-11-02 13:14:39,141388,53,ANTONIO JOSÉ MEDEIROS,M,FUNCIONÁRIO PÚBLICO FEDERAL,PT,PI,Titular,Em Exercício,113,0,0,
44,1177,2,2015-11-02 13:14:39,160509,55,JORGINHO MELLO,M,"Advogado, Bancário",PR,SC,Titular,Em Exercício,476,329,4,3215-5329
45,925,2,2015-11-02 13:14:39,74419,54,GONZAGA PATRIOTA,M,"Advogado, Contador , Administrador de Empresas e Jornalista.",PSB,PE,Titular,Em Exercício,143,0,0,
46,1184,2,2015-11-02 13:14:39,73775,52,JOSÉ BORBA,M,Pecuarista e Comerciante,PMDB,PR,Titular,Vacância,451,0,0,
47,1181,2,2015-11-02 13:14:39,73536,53,JOSÉ ANÍBAL,M,"Economista, Professor e Empresário",PSDB,SP,Titular,Licenciado,364,0,0,
48,1366,2,2015-11-02 13:14:39,74299,55,LEÔNIDAS CRISTINO,M,Engenheiro Civil.,PROS,CE,Titular,Em Exercício,96,948,4,3215-5948
49,2060,2,2015-11-02 13:14:39,141529,55,ROBERTO BRITTO,M,PROFESSOR UNIVERSITÁRIO,PP,BA,Titular,Em Exercício,211,733,4,3215-5733
50,1593,2,2015-11-02 13:14:39,141505,53,MARINA MAGGESSI,F,Policial Civil,PPS,RJ,Titular,Em Exercício,314,0,0,
51,426,2,2015-11-02 13:14:39,73441,53,CELSO RUSSOMANNO,M,"Apresentador de Televisão, Repórter e Bacharel em Direito",PP,SP,Titular,Em Exercício,344,0,0,
52,1551,2,2015-11-02 13:14:39,160535,54,MARCON,M,Agricultor,PT,RS,Titular,Em Exercício,507,0,0,
53,761,2,2015-11-02 13:14:39,178877,55,FÁBIO SOUSA,M,"Apresentador de Televisão,Gestor Público,Pastor,Radialista",PSDB,GO,Titular,Em Exercício,426,271,3,3215-5271
54,1975,2,2015-11-02 13:14:39,160516,54,RAIMUNDÃO,M,Médico,PMDB,CE,Titular,Vacância,108,0,0,
55,1827,2,2015-11-02 13:14:39,74319,54,PAES LANDIM,M,Professor e Advogado,PTB,PI,Titular,Em Exercício,118,0,0,
56,1022,2,2015-11-02 13:14:39,74562,52,IVAN PAIXÃO,M,Médico,PPS,SE,Suplente,Suplência,570,0,0,
57,1048,2,2015-11-02 13:14:39,74547,53,JAIRO CARNEIRO,M,Advogado e Professor,PFL,BA,Suplente,Em Exercício,597,0,0,
58,1957,2,2015-11-02 13:14:39,141538,53,PROFESSOR RUY PAULETTI,M,Professor Universitário e Professor de Ensino Médio,PSDB,RS,Titular,Em Exercício,509,0,0,
59,2027,2,2015-11-02 13:14:39,172945,54,RICARDO ARRUDA,M,,PSC,PR,Suplente,Suplência,635,0,0,
60,418,2,2015-11-02 13:14:39,178876,55,CÉLIO SILVEIRA,M,Médico(a),PSDB,GO,Titular,Em Exercício,417,565,3,3215-5565
61,2480,2,2015-11-02 13:14:39,74392,54,ZONTA,M,Agricultor Cooperativista.,PP,SC,Suplente,Suplência,485,0,0,
62,645,2,2015-11-02 13:14:39,74267,52,EDNA MACEDO,F,,PTB,SP,Titular,Em Exercício,351,0,0,
63,2458,2,2015-11-02 13:14:39,160632,55,ZÉ SILVA,M,"Agricultor, Agrônomo, Extensionista Rural",SD,MG,Titular,Em Exercício,271,608,4,3215-5608
64,131,2,2015-11-02 13:14:39,133439,54,ANDRÉ FIGUEIREDO,M,"Advogado, Economista, Empresário",PDT,CE,Titular,Em Exercício,89,0,0,
65,819,2,2015-11-02 13:14:39,179383,54,FERNANDO ZACHIA,M,,PMDB,RS,Suplente,Em Exercício,660,0,0,
66,2126,2,2015-11-02 13:14:39,74042,53,RONALDO CUNHA LIMA,M,Advogado,PSDB,PB,Titular,Vacância,135,0,0,
67,1508,2,2015-11-02 13:14:39,73548,52,MARCELO BARBIERI,M,Administrador de Empresas,PMDB,SP,Suplente,Suplência,585,0,0,
68,1014,2,2015-11-02 13:14:39,141453,54,ÍRIS DE ARAÚJO,F,Administrador Público,PMDB,GO,Titular,Em Exercício,417,0,0,
69,2059,2,2015-11-02 13:14:39,141529,54,ROBERTO BRITTO,M,PROFESSOR UNIVERSITÁRIO,PP,BA,Titular,Em Exercício,211,0,0,
70,2304,2,2015-11-02 13:14:39,73564,53,VADÃO GOMES,M,Empresário e Pecuarista,PP,SP,Titular,Em Exercício,392,0,0,
71,160,2,2015-11-02 13:14:39,73937,52,ANSELMO,M,AGRICULTOR,PT,RO,Titular,Em Exercício,47,0,0,
72,2178,2,2015-11-02 13:14:39,73676,52,SANDRO MABEL,M,EMPRESARIO,DEM,GO,Titular,Em Exercício,431,0,0,
73,2082,2,2015-11-02 13:14:39,152865,53,RODRIGO BETHLEM,M,,PMDB,RJ,Suplente,Licenciado,579,0,0,
74,2036,2,2015-11-02 13:14:39,73557,53,RICARDO IZAR,M,Advogado,PTB,SP,Titular,Vacância,385,0,0,
75,1300,2,2015-11-02 13:14:39,160544,54,JUNJI ABE,M,"Consultor, Empresário Rural",DEM,SP,Titular,Em Exercício,355,0,0,
76,2266,2,2015-11-02 13:14:39,178922,55,TADEU ALENCAR,M,Procurador,PSB,PE,Titular,Em Exercício,161,820,4,3215-5820
77,1019,2,2015-11-02 13:14:39,74152,54,ISAIAS SILVESTRE,M,,PSB,MG,Suplente,Suplência,604,0,0,
78,1869,2,2015-11-02 13:14:39,160558,55,PAULO FREIRE,M,Ministro do Evangelho,PR,SP,Titular,Em Exercício,380,416,4,3215-5416
79,2181,2,2015-11-02 13:14:39,74258,52,SANDRO MATOS,M,Empresário,PSD,RJ,Titular,Em Exercício,326,0,0,
80,36,2,2015-11-02 13:14:39,178835,55,AFONSO MOTTA,M,,PDT,RS,Titular,Em Exercício,490,711,4,3215-5711
81,611,2,2015-11-02 13:14:39,74381,52,DRA. CLAIR,F,Advogada,PT,PR,Titular,Em Exercício,460,0,0,
